Timestamp, Object Name, Event
2024-11-13T10:49:39.943865800,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Omar]
2024-11-13T10:49:39.947899900,Gate1_controller,Asked Parent Node [Gate1] about ID [Omar]'s permission
2024-11-13T10:49:40.036820,Gate1_controller,ID [Omar]'s permission: [ALLOWED]
2024-11-13T10:49:40.036820,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [ON]
2024-11-13T10:49:42.038357400,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Nobody]
2024-11-13T10:49:42.040785400,Gate1_controller,Asked Parent Node [Gate1] about ID [Nobody]'s permission
2024-11-13T10:49:42.069773900,Gate1_controller,ID [Nobody]'s permission: [DENIED]
2024-11-13T10:49:42.070777,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:44.076607500,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Guten]
2024-11-13T10:49:44.078322300,Gate1_controller,Asked Parent Node [Gate1] about ID [Guten]'s permission
2024-11-13T10:49:44.107441800,Gate1_controller,ID [Guten]'s permission: [DENIED]
2024-11-13T10:49:44.108501400,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:46.118793500,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Guten]
2024-11-13T10:49:46.119802800,Gate1_controller,Asked Parent Node [Gate1] about ID [Guten]'s permission
2024-11-13T10:49:46.150816600,Gate1_controller,ID [Guten]'s permission: [DENIED]
2024-11-13T10:49:46.150816600,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:48.159380900,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Farrag]
2024-11-13T10:49:48.159380900,Gate1_controller,Asked Parent Node [Gate1] about ID [Farrag]'s permission
2024-11-13T10:49:48.191359400,Gate1_controller,ID [Farrag]'s permission: [ALLOWED]
2024-11-13T10:49:48.191359400,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [ON]
2024-11-13T10:49:50.199139200,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Tagen]
2024-11-13T10:49:50.200600,Gate1_controller,Asked Parent Node [Gate1] about ID [Tagen]'s permission
2024-11-13T10:49:50.230447500,Gate1_controller,ID [Tagen]'s permission: [DENIED]
2024-11-13T10:49:50.231736800,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:52.238731200,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Nobody]
2024-11-13T10:49:52.240115800,Gate1_controller,Asked Parent Node [Gate1] about ID [Nobody]'s permission
2024-11-13T10:49:52.270714500,Gate1_controller,ID [Nobody]'s permission: [DENIED]
2024-11-13T10:49:52.271740600,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:54.275694400,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value []
2024-11-13T10:49:54.275694400,Gate1_controller,Asked Parent Node [Gate1] about ID []'s permission
2024-11-13T10:49:54.306399700,Gate1_controller,ID []'s permission: [DENIED]
2024-11-13T10:49:54.306399700,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [OFF]
2024-11-13T10:49:56.315812800,Gate1_controller,[SUCCESS] Received field [ID] from object [Gate1_scanner]. Value [Omar]
2024-11-13T10:49:56.316954900,Gate1_controller,Asked Parent Node [Gate1] about ID [Omar]'s permission
2024-11-13T10:49:56.347678,Gate1_controller,ID [Omar]'s permission: [ALLOWED]
2024-11-13T10:49:56.348857,Gate1_controller,[SUCCESS] Switched object [Gate1_relay] position [0] to [ON]
