Timestamp,Object Name,Event
2024-11-13T10:49:39.869677900,Node2,
2024-11-13T10:49:39.934275200,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:40.036182500,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:40.066708900,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:40.922535700,Node2,
2024-11-13T10:49:41.080885900,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:41.172567800,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:41.932222,Node2,
2024-11-13T10:49:42.124149500,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:42.178972900,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:42.241845200,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:42.938831100,Node2,
2024-11-13T10:49:43.253170900,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:43.318827400,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:43.950827400,Node2,
2024-11-13T10:49:44.195538100,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:44.325697500,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:44.389000700,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:44.964032300,Node2,
2024-11-13T10:49:45.403784200,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:45.466466800,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:45.979959200,Node2,
2024-11-13T10:49:46.269127200,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:46.476679900,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:46.541194900,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:46.989874400,Node2,
2024-11-13T10:49:47.553194700,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:47.618537,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:47.990950300,Node2,
2024-11-13T10:49:48.339759800,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:48.626686600,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:48.690426900,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:48.999878400,Node2,
2024-11-13T10:49:49.701429400,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:49.763287,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:50.012323800,Node2,
2024-11-13T10:49:50.435282600,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:50.775363500,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:50.841076900,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:51.025004,Node2,
2024-11-13T10:49:51.850389800,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:51.914627,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:52.036132300,Node2,
2024-11-13T10:49:52.528647200,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:52.925118300,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:52.987798900,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:53.047782,Node2,
2024-11-13T10:49:53.994888800,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:54.056655800,Node2,
2024-11-13T10:49:54.057653100,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:54.596958700,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:55.058458900,Node2,
2024-11-13T10:49:55.075631700,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:55.137728400,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:56.066395200,Node2,
2024-11-13T10:49:56.145757,Node2,[STARTED] Sent Packet Through Connected Gateway
2024-11-13T10:49:56.209505300,Node2,[SUCCESS] Sent Packet Through Connected Gateway
2024-11-13T10:49:56.667078900,Node2,Received new packet from control node [Node3]
2024-11-13T10:49:57.077538700,Node2,
