Timestamp,Object Name,Event
2024-12-07T23:35:57.590940300,RoofZone_WindNode_controller,Started
2024-12-07T23:35:57.599617200,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [100]
2024-12-07T23:35:57.603744900,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:35:58.169847200,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [200]
2024-12-07T23:35:58.170813100,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:35:58.750930800,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [300]
2024-12-07T23:35:58.784933,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:35:59.341030700,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [0]
2024-12-07T23:35:59.342166100,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:35:59.873462800,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [100]
2024-12-07T23:35:59.875464600,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:36:00.419978100,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [0]
2024-12-07T23:36:00.419978100,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:36:00.948775300,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [300]
2024-12-07T23:36:00.949754400,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:36:01.490216900,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [50]
2024-12-07T23:36:01.492583700,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
2024-12-07T23:36:02.062079200,RoofZone_WindNode_controller,[SUCCESS] Received field [Wind Speed] from object [RoofZone_WindNode_WindSensor]. Value [20]
2024-12-07T23:36:02.064062900,RoofZone_WindNode_controller,Sent [1] packets to parent node to publish them
