Timestamp,Object Name,Event
2024-12-04T13:40:04.721308800,Zone2_GateNode,Started
2024-12-04T13:40:04.729660100,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:04.760306400,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:04.763309100,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:04.793849600,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:05.294430,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:05.318825900,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:05.320788200,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:05.347061600,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:05.848734200,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:05.876861700,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:05.879377400,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:05.907881900,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:06.421758500,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:06.451871400,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:06.454974400,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:06.482876300,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:06.996084400,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:07.026148100,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:07.028278700,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:07.056796900,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:07.571449700,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:07.601435500,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-12-04T13:40:07.605856400,Zone2_GateNode,Started Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:07.632847700,Zone2_GateNode,Done Publishing (2) packets to Control Node [Zone2_MasterNode]
2024-12-04T13:40:08.149348500,Zone2_GateNode,Asked Control Node [Zone2_MasterNode] about ID [Uninitialized]'s permission
2024-12-04T13:40:08.178371600,Zone2_GateNode,ID [Uninitialized]'s permission: [DENIED]
