Timestamp,Object Name,Video
0.022,Zone2_MasterNode_camera,Uninitialized
0.044,Zone2_MasterNode_camera,Uninitialized
0.067,Zone2_MasterNode_camera,Uninitialized
0.087,Zone2_MasterNode_camera,Uninitialized
0.109,Zone2_MasterNode_camera,Uninitialized
0.130,Zone2_MasterNode_camera,Uninitialized
0.157,Zone2_MasterNode_camera,Uninitialized
0.178,Zone2_MasterNode_camera,Uninitialized
0.198,Zone2_MasterNode_camera,Uninitialized
0.229,Zone2_MasterNode_camera,Uninitialized
0.250,Zone2_MasterNode_camera,Uninitialized
0.276,Zone2_MasterNode_camera,Uninitialized
0.297,Zone2_MasterNode_camera,Uninitialized
0.318,Zone2_MasterNode_camera,Uninitialized
0.339,Zone2_MasterNode_camera,Uninitialized
0.359,Zone2_MasterNode_camera,Uninitialized
0.380,Zone2_MasterNode_camera,Uninitialized
0.401,Zone2_MasterNode_camera,Uninitialized
0.421,Zone2_MasterNode_camera,Uninitialized
0.444,Zone2_MasterNode_camera,Uninitialized
0.464,Zone2_MasterNode_camera,Uninitialized
0.495,Zone2_MasterNode_camera,Uninitialized
0.515,Zone2_MasterNode_camera,Uninitialized
0.536,Zone2_MasterNode_camera,Uninitialized
0.577,Zone2_MasterNode_camera,Uninitialized
0.597,Zone2_MasterNode_camera,Uninitialized
0.617,Zone2_MasterNode_camera,Uninitialized
0.651,Zone2_MasterNode_camera,Uninitialized
0.681,Zone2_MasterNode_camera,Uninitialized
0.712,Zone2_MasterNode_camera,Uninitialized
0.732,Zone2_MasterNode_camera,Uninitialized
0.752,Zone2_MasterNode_camera,Uninitialized
0.775,Zone2_MasterNode_camera,Uninitialized
0.796,Zone2_MasterNode_camera,Uninitialized
0.816,Zone2_MasterNode_camera,Uninitialized
0.837,Zone2_MasterNode_camera,Uninitialized
0.867,Zone2_MasterNode_camera,Uninitialized
0.887,Zone2_MasterNode_camera,Uninitialized
0.914,Zone2_MasterNode_camera,Uninitialized
0.935,Zone2_MasterNode_camera,Uninitialized
0.962,Zone2_MasterNode_camera,Uninitialized
0.992,Zone2_MasterNode_camera,Uninitialized
1.024,Zone2_MasterNode_camera,Uninitialized
1.055,Zone2_MasterNode_camera,Uninitialized
1.086,Zone2_MasterNode_camera,Uninitialized
1.108,Zone2_MasterNode_camera,Uninitialized
1.129,Zone2_MasterNode_camera,Uninitialized
1.165,Zone2_MasterNode_camera,Uninitialized
1.185,Zone2_MasterNode_camera,Uninitialized
1.211,Zone2_MasterNode_camera,Uninitialized
1.231,Zone2_MasterNode_camera,Uninitialized
1.257,Zone2_MasterNode_camera,Uninitialized
1.288,Zone2_MasterNode_camera,Uninitialized
1.310,Zone2_MasterNode_camera,Uninitialized
1.335,Zone2_MasterNode_camera,Uninitialized
1.365,Zone2_MasterNode_camera,Uninitialized
1.386,Zone2_MasterNode_camera,Uninitialized
1.412,Zone2_MasterNode_camera,Uninitialized
1.443,Zone2_MasterNode_camera,Uninitialized
1.464,Zone2_MasterNode_camera,Uninitialized
1.485,Zone2_MasterNode_camera,Uninitialized
1.506,Zone2_MasterNode_camera,Uninitialized
1.537,Zone2_MasterNode_camera,Uninitialized
1.569,Zone2_MasterNode_camera,Uninitialized
1.590,Zone2_MasterNode_camera,Uninitialized
