Timestamp,Object Name,Event
0.011,Zone2_MasterNode_controller,Started
0.054,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.230,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.380,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.561,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.621,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.695,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.756,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.836,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.903,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
0.964,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.024,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.085,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.145,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.205,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.265,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.325,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.386,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.446,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.506,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.566,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.628,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.698,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.761,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.821,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.881,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
1.949,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.010,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.070,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.153,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.215,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.281,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.350,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.441,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.509,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.585,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.653,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.713,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.783,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.843,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.911,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
2.971,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.050,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.110,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.185,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.264,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.324,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.401,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.474,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.534,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.609,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.678,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.753,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.824,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.884,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
3.952,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
4.012,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
4.073,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
4.142,Zone2_MasterNode_controller,Parent Node [Zone2_MasterNode] asked if ID [Uninitialized] is permitted to enter zone. Permission [DENIED]
