Timestamp,Object Name,Event,Zone3_SpeakerNode_speaker_Played Message,Zone3_BuzzerNode_actuator_Switch 0 Status,Zone3_ActuatorNode_actuator_Switch 0 Status,Zone3_ActuatorNode_actuator_Switch 1 Status,Zone3_ActuatorNode_actuator_Switch 2 Status,Zone3_ActuatorNode_actuator_Switch 3 Status,Zone3_BuzzerNode_actuator_Connected Device 0,Zone3_ActuatorNode_actuator_Connected Device 3,Zone3_GateNode_scanner_ID,Zone3_GateNode_relay_Switch 0 Status,Zone3_ActuatorNode_actuator_Connected Device 1,Zone3_GateNode_relay_Connected Device 0,Zone3_ActuatorNode_actuator_Connected Device 2,Zone3_ActuatorNode_actuator_Connected Device 0
2024-11-27T10:05:11.547818600,Zone3_ControlNode,Started,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.576885800,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:11.410613400],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.579829600,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:11.409606500],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.580981300,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Zone3_BuzzerNode_actuator_buzzer,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.582004700,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Zone3_BuzzerNode_actuator_buzzer,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.587983100,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:11.410613400],Uninitialized,false,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Zone3_BuzzerNode_actuator_buzzer,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-27T10:05:11.612261300,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_GateNode] created @ [2024-11-27T10:05:11.596684900],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,Uninitialized,Disconnected,Uninitialized,Disconnected,Disconnected
2024-11-27T10:05:12.108961300,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:12.093491800],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.122676,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:12.108961300],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.127778700,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:12.111864400],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.155660400,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.157153,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.188943,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_GateNode] created @ [2024-11-27T10:05:12.172467800],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.652291200,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:12.637520200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.666109300,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:12.652291200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.669073200,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:12.652291200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.730503300,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.732451600,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:12.761160500,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_GateNode] created @ [2024-11-27T10:05:12.746465200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.196144200,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:13.180277800],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.209337900,Zone3_ControlNode,Received (8) new packets from slave node [Zone3_ActuatorNode] created @ [2024-11-27T10:05:13.196144200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.210650100,Zone3_ControlNode,Received (1) new packets from slave node [Zone3_SpeakerNode] created @ [2024-11-27T10:05:13.196144200],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.290981600,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.292366200,Zone3_ControlNode,Gate [Zone3_GateNode] queried permission status for ID [Uninitialized]. Permission [DENIED],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.322174800,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_GateNode] created @ [2024-11-27T10:05:13.307713300],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
2024-11-27T10:05:13.726596700,Zone3_ControlNode,Received (2) new packets from slave node [Zone3_BuzzerNode] created @ [2024-11-27T10:05:13.709553900],Uninitialized,false,false,false,false,false,Zone3_BuzzerNode_actuator_buzzer,Disconnected,Uninitialized,false,Disconnected,Zone3_GateNode_motor,Disconnected,Disconnected
