Timestamp, Object Name, Event
2024-11-20T02:54:45.435699600,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:45.449344300,Zone3_GateNode,Started
2024-11-20T02:54:45.476101800,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:45.480990600,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:45.523909700,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:46.040261300,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:46.070230900,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:46.075253100,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:46.116885800,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:46.618188500,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:46.645643100,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:46.648657900,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:46.673657500,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:47.176909700,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:47.207703300,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:47.215673600,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:47.252876800,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:47.767112400,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:47.796695800,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:47.800713900,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:47.828672800,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:48.346743800,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:48.374697500,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:48.376804400,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:48.405646200,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:48.925162300,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:48.951746500,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:48.952747400,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:48.982096100,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:49.498255300,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:49.527927800,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:49.533498,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:49.574413100,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:50.091755400,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:50.122083700,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:50.129105800,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:50.169149700,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:50.686438600,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:50.715207100,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:50.716205200,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:50.741089700,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:51.245328,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:51.276784200,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
2024-11-20T02:54:51.284623300,Zone3_GateNode,Started Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:51.323401900,Zone3_GateNode,Done Publishing (2) packets to Control Node [Zone3_ControlNode]
2024-11-20T02:54:51.838189400,Zone3_GateNode,Asked Control Node [Zone3_ControlNode] about ID [Uninitialized]'s permission
2024-11-20T02:54:51.865822100,Zone3_GateNode,ID [Uninitialized]'s permission: [DENIED]
