Timestamp,Object Name,Event
0.012,Zone3_MasterNode_gateway,Started
0.517,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
0.812,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
1.161,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
1.530,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
1.873,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
2.207,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
2.496,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
2.813,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
3.106,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
3.409,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
3.707,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
4.000,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
4.291,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
4.595,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
4.893,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
5.169,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
5.462,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
5.785,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
6.081,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
6.378,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
6.692,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
6.983,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
7.313,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
7.620,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
7.952,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
8.287,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
8.601,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
8.972,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
9.334,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
9.734,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
10.017,Zone3_MasterNode_gateway,[SUCCESS] Forwarded packet from Gateway [Zone2_MasterNode_gateway] to Gateway [MasterZone_MasterNode_gateway]
